         1229297 function calls in 0.587 seconds

   Ordered by: cumulative time
   List reduced from 29 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.587    0.587 c:\Users\Dell\OneDrive\Documents\week4_performance_optimization_project\original_app.py:76(main)
        1    0.077    0.077    0.451    0.451 c:\Users\Dell\OneDrive\Documents\week4_performance_optimization_project\original_app.py:9(generate_text)
    60000    0.028    0.000    0.201    0.000 C:\Users\Dell\AppData\Local\Programs\Python\Python313\Lib\random.py:336(randint)
    60000    0.072    0.000    0.173    0.000 C:\Users\Dell\AppData\Local\Programs\Python\Python313\Lib\random.py:295(randrange)
   120000    0.097    0.000    0.149    0.000 C:\Users\Dell\AppData\Local\Programs\Python\Python313\Lib\random.py:245(_randbelow_with_getrandbits)
    60000    0.055    0.000    0.149    0.000 C:\Users\Dell\AppData\Local\Programs\Python\Python313\Lib\random.py:345(choice)
        1    0.002    0.002    0.136    0.136 c:\Users\Dell\OneDrive\Documents\week4_performance_optimization_project\original_app.py:61(analyze_text_slow)
        1    0.070    0.070    0.134    0.134 c:\Users\Dell\OneDrive\Documents\week4_performance_optimization_project\original_app.py:32(count_words_slow)
    60000    0.028    0.000    0.052    0.000 c:\Users\Dell\OneDrive\Documents\week4_performance_optimization_project\original_app.py:28(normalize_word)
   182911    0.029    0.000    0.029    0.000 {method 'getrandbits' of '_random.Random' objects}
   180000    0.027    0.000    0.027    0.000 {built-in method _operator.index}
   125020    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
   120000    0.023    0.000    0.023    0.000 {method 'bit_length' of 'int' objects}
   120001    0.018    0.000    0.018    0.000 {built-in method builtins.len}
    60000    0.013    0.000    0.013    0.000 {method 'strip' of 'str' objects}


