         1169711 function calls (1169694 primitive calls) in 0.293 seconds

   Ordered by: cumulative time
   List reduced from 145 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.293    0.293 /home/runner/work/Performance_optimization_project/Performance_optimization_project/optimized_app.py:57(main)
        1    0.040    0.040    0.242    0.242 /home/runner/work/Performance_optimization_project/Performance_optimization_project/optimized_app.py:10(generate_text)
    60000    0.016    0.000    0.107    0.000 /usr/lib/python3.12/random.py:332(randint)
    60000    0.038    0.000    0.091    0.000 /usr/lib/python3.12/random.py:291(randrange)
    60000    0.030    0.000    0.082    0.000 /usr/lib/python3.12/random.py:341(choice)
   120000    0.053    0.000    0.081    0.000 /usr/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
        1    0.001    0.001    0.050    0.050 /home/runner/work/Performance_optimization_project/Performance_optimization_project/optimized_app.py:42(analyze_text_fast)
        1    0.010    0.010    0.049    0.049 /home/runner/work/Performance_optimization_project/Performance_optimization_project/optimized_app.py:32(count_words_fast)
    60000    0.016    0.000    0.032    0.000 /home/runner/work/Performance_optimization_project/Performance_optimization_project/optimized_app.py:28(normalize_word)
   183104    0.015    0.000    0.015    0.000 {method 'getrandbits' of '_random.Random' objects}
   180000    0.014    0.000    0.014    0.000 {built-in method _operator.index}
   120000    0.013    0.000    0.013    0.000 {method 'bit_length' of 'int' objects}
   120012    0.010    0.000    0.010    0.000 {built-in method builtins.len}
    60000    0.009    0.000    0.009    0.000 {method 'strip' of 'str' objects}
    65004    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}


